id,category,question,reference_answer,expected_behavior,kg_accuracy,rag_accuracy,notes,actual_answer,is_executed
11,Level 1: Simple,Mã môn học của môn An ninh mạng là gì?,CS4344,Direct attribute lookup. Both systems should perform well.,,,,"{""data"":""Chào bạn,\n\nTrong cơ sở dữ liệu hiện tại, **có hai môn học mang tên “An ninh mạng”**, mỗi môn thuộc một khoa và có các đặc điểm khác nhau. Vì vậy, “mã môn học” của môn “An ninh mạng” không duy nhất mà bao gồm:\n\n| Tên môn học | Mã môn học | Khoa | Tín chỉ | Trạng thái | Loại môn |\n|--------------|-----------|------|----------|------------|----------|\n| An ninh mạng | **CS4344** | HTTT (Hệ thống Thông tin và Truyền thông) | 3 LT, 0 TH | Open | CSN (Công suất Nghiên cứu) |\n| An ninh mạng | **CSBU111** | KHMT (Khoa Học Máy Tính) | 40 LT, 25 TH | Open | CN (Công nghệ) |\n\n### Vì sao có hai mã?\n- **CS4344**: Đây là một môn học ngắn hạn (chỉ 3 giờ lý thuyết), thường được đưa vào chương trình đào tạo của Khoa HTTT.\n- **CSBU111**: Đây là một môn học dài hơn, với 40 giờ thực hành và 25 giờ thảo luận, thuộc Khoa KHMT.\n\nNếu bạn đang quan tâm tới **một trong hai** môn học trên (ví dụ: dựa trên khoa mà bạn đang theo học, hoặc dựa trên số tín chỉ cần thiết), hãy xác định rõ hơn để mình có thể cung cấp các thông tin chi tiết hơn như các môn tiên quyết, thời gian học, … \n\nNếu có bất kỳ thắc mắc nào khác hoặc cần thông tin về các quan hệ (tiên quyết, môn trước...), cứ thoải mái hỏi mình nhé!"",""status"":200}",True
12,Level 1: Simple,Mã môn học của môn Lập trình hệ thống với Java là gì?,CE315,Direct attribute lookup. Both systems should perform well.,,,,"{""data"":""Chào bạn,\n\nTrong dữ liệu hiện có, **môn “Lập trình hệ thống với Java”** được ghi nhận với **hai mã môn** khác nhau tùy thuộc vào mức độ và khối lượng học tập:\n\n| Tên môn | Mã môn | Khoa | Tín chỉ |\n|----------|--------|------|----------|\n| Lập trình hệ thống với Java | **CE110** | KTMT | 3 LT + 1 TH |\n| Lập trình hệ thống với Java | **CE315** | KTMT | 2 LT + 1 TH |\n\n- **CE110** là phiên bản mở rộng (3 tín chỉ lý thuyết + 1 tín chỉ thực hành).  \n- **CE315** là phiên bản ngắn gọn hơn (2 tín chỉ lý thuyết + 1 tín chỉ thực hành) và được liệt kê là “môn tương đồng” của CE110.\n\nNếu bạn đang tìm kiếm một mã môn cụ thể cho một chương trình học nào đó, bạn nên kiểm tra quy định của chương trình để biết nên đăng ký **CE110** hay **CE315**. Cả hai đều thuộc Khoa Kỹ thuật Máy tính – Truyền thông (KTMT). \n\nHy vọng thông tin này giúp bạn xác định đúng mã môn cần thiết! Nếu còn câu hỏi nào khác, cứ thoải mái hỏi nhé."",""status"":200}",True
13,Level 1: Simple,Mã môn học của môn Xử lý dữ liệu lớn là gì?,IE218,Direct attribute lookup. Both systems should perform well.,,,,"{""data"":""Môn **Xử lý dữ liệu lớn** có mã **IE218**."",""status"":200}",True
14,Level 2: Medium,"Để học môn JAN04, sinh viên cần hoàn thành môn tiên quyết nào?",JAN03,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nĐối với **môn Tiếng Nhật 4 (mã: JAN04)**, hệ thống ghi nhận một điều kiện tiên quyết duy nhất:\n\n**➡️ Tiếng Nhật 3 (mã: JAN03)**  \n\nBạn cần hoàn thành **JAN03** trước khi đăng ký học **JAN04**. Khi đã vượt qua (hoặc đang học) môn Tiếng Nhật 3 và đạt được các kỹ năng cơ bản ở trình độ sơ cấp 3, bạn sẽ đủ nền tảng để tiếp tục nâng cao khả năng giao tiếp ở mức Tiếng Nhật 4.\n\nNếu bạn còn thắc mắc gì thêm về lộ trình học tiếng Nhật hoặc muốn biết các môn tiếp theo sau JAN04 (ví dụ: JAN05), cứ thoải mái hỏi nhé! Chúc bạn học tập hiệu quả."",""status"":200}",True
15,Level 3: Hard,Tóm tắt nội dung chính của môn Thiết kế giao diện người dùng.,"Môn học này cung cấp các kiến thức cơ bản như: vấn đề khả dụng của các hệ thống tương tác, các nguyên tắc quan trọng của thiết kế giao diện người dùng, quá trình thiết kế giao diện, đánh giá thiết kế giao diện; bên cạnh việc giới thiệu một số dạng kỹ thuật thiết kế liên quan đến thực đơn, form fill-in, hộp hội thoại, tài liệu người dùng, giao diện tìm kiếm, mối liên hệ giữa giao diện người dùng với trực quan thông tin; cũng như giới thiệu sơ về các mảng công nghệ mới.",RAG summarization.,,,,"{""data"":""**Môn học:** Thiết kế giao diện người dùng (UI Design)  \n**Mã số:** IE106 (cũng có mã IE107, nhưng dữ liệu chi tiết chỉ có cho IE106)  \n\n### Nội dung chính của môn\n\n1. **Khái niệm và vấn đề cơ bản**  \n   - Tìm hiểu về tính khả dụng (usability) của các hệ thống tương tác.  \n   - Nắm bắt các nguyên tắc quan trọng trong thiết kế giao diện người dùng.\n\n2. **Quy trình thiết kế giao diện**  \n   - Các giai đoạn từ phân tích yêu cầu, lên ý tưởng, tạo mẫu (prototype) cho đến việc thực hiện và kiểm thử giao diện.  \n\n3. **Đánh giá và cải tiến giao diện**  \n   - Phương pháp đánh giá tính dễ dùng, hiệu quả và thẩm mỹ của giao diện.  \n   - Các kỹ thuật thu thập phản hồi người dùng và cải tiến dựa trên kết quả đánh giá.\n\n4. **Các dạng kỹ thuật thiết kế phổ biến**  \n   - **Menu** – cách bố trí và tổ chức các mục menu sao cho người dùng dễ tìm.  \n   - **Form fill‑in** – thiết kế các biểu mẫu nhập liệu thân thiện, giảm lỗi người dùng.  \n   - **Hộp hội thoại (dialog boxes)** – quy tắc hiển thị thông tin, cảnh báo và xác nhận.  \n   - **Tài liệu người dùng** – cách trình bày hướng dẫn, trợ giúp trong môi trường đồ họa.  \n   - **Giao diện tìm kiếm** – thiết kế ô tìm kiếm, kết quả đề xuất và lọc thông tin.  \n\n5. **Mối liên hệ với trực quan thông tin**  \n   - Cách thiết kế giao diện sao cho thông tin được trình bày một cách trực quan, dễ hiểu và hỗ trợ quyết định của người dùng.\n\n6. **Giới thiệu sơ bộ về các công nghệ mới**  \n   - Những xu hướng công nghệ hiện đại (VD: thiết kế đáp ứng, UI cho thiết bị di động, thực tế ảo/tăng cường…) và cách chúng ảnh hưởng đến quá trình thiết kế giao diện.\n\n### Ghi chú\n\n- Môn học yêu cầu **điều kiện tiên quyết** là *Nhập môn lập trình* (IT001).  \n- Nếu bạn quan tâm tới phiên bản IE107, hiện hệ thống chưa có thông tin chi tiết về nội dung của môn này; tuy nhiên, hai mã thường đề cập đến cùng một chương trình học.  \n\nHy vọng tóm tắt trên giúp bạn nắm được các nội dung trọng tâm của môn “Thiết kế giao diện người dùng”. Nếu cần thêm thông tin về các môn liên quan hoặc điều kiện học trước, cứ cho mình biết nhé!"",""status"":200}",True
16,Level 2: Medium,"Để học môn JAN05, sinh viên cần hoàn thành môn tiên quyết nào?",JAN04,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nĐể đăng ký học **Tiếng Nhật 5 (mã: JAN05)**, hệ thống yêu cầu sinh viên phải **đã hoàn thành môn Tiếng Nhật 4 (mã: JAN04)** trước. Đây là điều kiện tiên quyết duy nhất được ghi trong dữ liệu hiện tại của chúng tôi.\n\nNếu bạn chưa hoàn thành JAN04, hãy đăng ký và hoàn thành môn này trước khi tiến tới JAN05 để đảm bảo kiến thức nền tảng phù hợp và đáp ứng yêu cầu học tập của chương trình. \n\nChúc bạn học tập hiệu quả! Nếu còn thắc mắc nào khác, hãy cho mình biết nhé."",""status"":200}",True
17,Level 1: Simple,Môn ENG01 thuộc khoa nào quản lý?,TTNN,Direct attribute lookup. Both systems should perform well.,,,,"{""data"":""**Môn Anh văn 1 (mã ENG01) được quản lý bởi Khoa TTNN.**  \n\nTrong dữ liệu chi tiết của môn này có mục:\n\n- **Khoa:** TTNN  \n- **Mã môn:** ENG01  \n- **Tên môn:** Anh văn 1  \n\nDo đó, bất kỳ câu hỏi nào liên quan tới việc xác định khoa chịu trách nhiệm quản lý môn ENG01 đều có câu trả lời là **Khoa TTNN**. Nếu bạn cần thêm thông tin về các môn liên quan hoặc các điều kiện tiên quyết, vui lòng cho mình biết!"",""status"":200}",True
18,Level 2: Medium,Môn ADENG3 có môn học nào tương đương không?,ENG05,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nTheo dữ liệu hiện tại của hệ thống, **môn “Tiếng Anh tăng cường 3” (mã ADENG3)** có một môn học được ghi là **môn tương đương**:\n\n- **Anh văn 5 (ENG05)**  \n\n### Thông tin nhanh về môn tương đương\n- **Mã môn:** ENG05  \n- **Khoa:** TTNN  \n- **Tín chỉ:** 4 LT, 0 TH  \n- **Loại môn:** Đề chuẩn (ĐC) – trạng thái **Open**  \n- **Nội dung chính:** 03 bài học trong giáo trình *Collins English for Exams: Skills for the TOEIC Test: Speaking and Writing*, tập trung vào kỹ năng Nói và Viết của bài thi TOEIC, bao gồm từ vựng, ngữ pháp, phát âm, cấu trúc câu và chiến thuật làm bài.\n\nNếu bạn đang cân nhắc lựa chọn hoặc muốn biết thêm chi tiết về nội dung giảng dạy, thời gian học hay các yêu cầu khác của **ENG05**, mình sẵn sàng hỗ trợ thêm nhé!"",""status"":200}",True
19,Level 4: Super Hard,Tìm các môn thuộc khoa KTMT có đề cập đến 'phương' trong mô tả và yêu cầu ít nhất một môn tiên quyết.,"Môn CE313 là một ví dụ (Khoa: KTMT, Mô tả: Môn học này trình bày các khái niệm và phương pháp xây dựng hệ thống xử lí song song và hệ thống phân bố)",Hybrid KG + RAG query.,,,,"{""data"":""**Các môn thuộc khoa “Kỹ thuật Máy tính – Mạch điện tử” (KTMT) mà mô tả có chứa từ **“phương”** và có ít nhất **một môn tiên quyết** (điều kiện học trước) là:**\n\n| Mã môn | Tên môn | Một vài nội dung “phương” trong mô tả | Điều kiện học trước (ít nhất 1) |\n|--------|----------|--------------------------------------|-----------------------------------|\n| **CE317** | Điều khiển tự động nâng cao | “…các **phương** pháp thiết kế bộ điều khiển cho hệ thống tự động…” | Lý thuyết mạch điện (CE101) • Các thiết bị và mạch điện tử (CE104) • Điều khiển tự động (CE212) • Giải tích 1 (MA001) • Giải tích 2 (MA002) • Đại số tuyến tính (MA003) • Cấu trúc rời rạc (MA004) |\n| **CE436** | Xử lý tín hiệu số và ứng dụng | “…các **phương** pháp xử lý tín hiệu hiện đại…”, “**phương** pháp lấy mẫu tín hiệu…”, “**phương** pháp thiết kế các bộ lọc FIR và IIR…” | Giải tích (MA006) • Đại số tuyến tính (MA003) |\n\n### Giải thích ngắn gọn\n- **CE317**: Là môn chuyên ngành “CN”. Mô tả nhấn mạnh các “phương pháp thiết kế” cho bộ điều khiển, và yêu cầu một loạt các môn nền tảng (toán, mạch điện, cấu trúc rời rạc…) làm tiền đề.\n- **CE436**: Cũng là môn “CNTC”. Nội dung tập trung vào các “phương pháp” xử lý tín hiệu số, và yêu cầu sinh viên đã hoàn thành Giải tích và Đại số tuyến tính trước khi học.\n\n> **Lưu ý:** Các môn khác của KTMT trong dữ liệu hiện tại (ví dụ CE104, CE212, CE304, …) không chứa từ “phương” trong mô tả hoặc không có điều kiện học trước, vì vậy chúng không đáp ứng yêu cầu của câu hỏi. Nếu bạn cần thông tin chi tiết hơn về bất kỳ môn nào, cứ cho mình biết nhé!"",""status"":200}",True
20,Level 3: Hard,Môn tiên quyết của môn tiên quyết của môn JAN05 là gì?,"Môn tiên quyết là JAN04, và tiên quyết của JAN04 là JAN03.",2-hop relationship logic.,,,,"{""data"":""**Câu trả lời:**  \nMôn tiên quyết của môn tiên quyết của **JAN05 (Tiếng Nhật 5)** là **Tiếng Nhật 3 (mã JAN03)**.\n\n**Giải thích chi tiết**\n\n1. **JAN05 – Tiếng Nhật 5**  \n   - **Điều kiện tiên quyết:** Tiếng Nhật 4 (JAN04)\n\n2. **JAN04 – Tiếng Nhật 4**  \n   - **Điều kiện tiên quyết:** Tiếng Nhật 3 (JAN03)\n\nVì vậy, khi truy vết một lớp sâu hơn, môn học nằm ngay trước “Tiếng Nhật 4” (điều kiện tiên quyết của JAN05) là **Tiếng Nhật 3 (JAN03)**.  \n\nNếu bạn đang lên kế hoạch học, hãy hoàn thành **JAN03** trước khi đăng ký **JAN04**, và sau đó mới tiếp tục tới **JAN05**."",""status"":200}",True
21,Level 3: Hard,Tóm tắt nội dung chính của môn Mô hình đồ thị xác suất.,Môn học nhằm cung cấp cho sinh viên những kiến thức nền tảng về các mô hình đồ thị xác suất (PGM) và ứng dụng của nó: biểu diễn và suy luận và học trên các mô hình đồ thị xác suất. Các bài toán từ thế giới thực sẽ được biểu diễn thông qua các PGM như thế nào dùng Bayesian Networks dựa trên đồ thị có hướng và Markov Networks dựa trên đồ thị vô hướng. Việc suy diễn dựa trên các mô hình PGM như thế nào và làm thế nào có thể học được các tham số mô hình PGM từ một tập dữ liệu huấn luyện.,RAG summarization.,,,,"{""data"":""**Môn học: Mô hình đồ thị xác suất (DS308)**  \n- **Khoa:** Khoa Toán – Tin học (KTTT)  \n- **Tín chỉ:** 3 LT + 1 TH  \n- **Loại môn:** Cơ sở (CN) – đang mở (Open)\n\n---\n\n### 📚 Tóm tắt nội dung chính\n\n| Chủ đề | Nội dung chi tiết |\n|-------|-------------------|\n| **1. Giới thiệu về Probabilistic Graphical Models (PGM)** | Khái niệm mô hình đồ thị xác suất, lý do sử dụng đồ thị để biểu diễn các mối quan hệ ngẫu nhiên phức tạp, so sánh với các mô hình thống kê truyền thống. |\n| **2. Các loại mô hình đồ thị** | - **Bayesian Networks (BN)** – đồ thị có hướng, mô tả các quan hệ phụ thuộc có chiều (causality). <br>- **Markov Networks (Markov Random Fields – MRF)** – đồ thị vô hướng, mô tả các mối quan hệ tương hỗ không có hướng. |\n| **3. Biểu diễn mô hình** | Cách mã hoá các biến ngẫu nhiên (rời rạc/ liên tục) lên các nút, mô tả các hàm tiềm năng (potential functions) hoặc bảng CPT (Conditional Probability Table) cho từng nút, và cách viết phân phối chung của mô hình dưới dạng tích các hàm cục bộ. |\n| **4. Suy diễn (Inference)** | - **Exact inference:** thuật toán Variable Elimination, Junction Tree, Belief Propagation trên cây. <br>- **Approximate inference:** Monte Carlo (MCMC), Loopy Belief Propagation, Variational Inference. <br>- Ứng dụng: tính xác suất hậu nghiệm, MAP inference, sampling. |\n| **5. Học mô hình (Learning)** | - **Learning parameters:** ước lượng các tham số (CPT, potentials) từ dữ liệu quan sát (Maximum Likelihood, Bayesian estimation). <br>- **Structure learning:** tìm cấu trúc đồ thị (các mối quan hệ) dựa trên tiêu chí thống kê (score‑based, constraint‑based, hybrid). |\n| **6. Ứng dụng thực tế** | - Chẩn đoán y tế, hệ thống khuyến nghị, xử lý ngôn ngữ tự nhiên, robot học, phân tích mạng xã hội, nhận dạng hình ảnh, v.v. |\n| **7. Thực hành** | Sử dụng các công cụ phần mềm (ví dụ: **pgmpy**, **bnlearn**, **libDAI**, **TensorFlow Probability**) để mô hình hoá, thực hiện suy diễn và học trên các bộ dữ liệu thực tế. |\n\n---\n\n### 🎯 Mục tiêu học tập\n\nSau khi hoàn thành môn, sinh viên sẽ có khả năng:\n\n1. **Hiểu và mô tả** các mô hình đồ thị xác suất (BN & MRF) và biết khi nào nên dùng loại nào.  \n2. **Xây dựng** một mô hình PGM cho một vấn đề thực tế, bao gồm việc định nghĩa các biến, cấu trúc đồ thị và các tham số.  \n3. **Thực hiện suy diễn** để trả lời các câu hỏi xác suất (posterior, MAP, marginal).  \n4. **Áp dụng các thuật toán học** để ước lượng tham số và/hoặc cấu trúc từ dữ liệu thực.  \n5. **Đánh giá và so sánh** các phương pháp suy diễn và học, lựa chọn giải pháp phù hợp cho từng bài toán.  \n\n---\n\n### 📌 Ghi chú\n\n- **Điều kiện tiên quyết**: Hệ thống chưa cung cấp thông tin về các môn tiên quyết cụ thể cho DS308. Thông thường, môn này yêu cầu kiến thức nền tảng về Xác suất thống kê và Đại số tuyến tính, cũng như một chút kiến thức lập trình (Python/Java). Nếu bạn chưa có nền tảng này, có thể tham khảo các môn **Xác suất & Thống kê (ST101)** hoặc **Giải thuật (CS201)** trước khi đăng ký.  \n- **Phương pháp học**: Kết hợp lý thuyết trong giảng dạy với các buổi thực hành (lab) sử dụng phần mềm mô hình hoá PGM.  \n\n---\n\n**Kết luận:** Môn *Mô hình đồ thị xác suất* cung cấp cho sinh viên kiến thức toàn diện về cách biểu diễn, suy luận và học các mô hình đồ thị xác suất, đồng thời trang bị kỹ năng thực tiễn để áp dụng chúng trong nhiều lĩnh vực khoa học và công nghiệp. Nếu bạn quan tâm đến trí tuệ nhân tạo, thống kê dữ liệu, hoặc các hệ thống quyết định thông minh, đây là một môn không thể bỏ qua."",""status"":200}",True
22,Level 4: Super Hard,"Để học môn JAN05, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","JAN04, JAN01, JAN02, JAN03",Full graph traversal (Prerequisite Tree).,,,,"{""data"":""Chào bạn,\n\nĐể đăng ký môn **Tiếng Nhật 5 (Mã JAN05)**, hệ thống quy định bạn phải hoàn thành đầy đủ các môn tiên quyết đã được liệt kê trong mục **[QUAN HỆ] — ĐIỀU KIỆN TIÊN QUYẾT** của môn này. Dưới đây là chuỗi các môn học cần hoàn thành, được sắp xếp theo thứ tự từ cấp thấp lên cao:\n\n| Thứ tự | Mã môn | Tên môn | Ghi chú |\n|--------|--------|----------|---------|\n| 1 | **JAN02** | Tiếng Nhật 2 | **Môn này là yêu cầu trực tiếp của JAN03**, nhưng thông tin chi tiết (đơn vị, tín chỉ, mô tả…) chưa có trong dữ liệu hiện tại của hệ thống. |\n| 2 | **JAN03** | Tiếng Nhật 3 | Yêu cầu: **Tiếng Nhật 2 (JAN02)**. |\n| 3 | **JAN04** | Tiếng Nhật 4 | Yêu cầu: **Tiếng Nhật 3 (JAN03)**. |\n| 4 | **JAN05** | Tiếng Nhật 5 | Yêu cầu: **Tiếng Nhật 4 (JAN04)**. |\n\n### Tóm tắt lộ trình\n\n1. **HOÀN THÀNH JAN02** →  \n2. **HOÀN THÀNH JAN03** (có điều kiện tiên quyết là JAN02) →  \n3. **HOÀN THÀNH JAN04** (có điều kiện tiên quyết là JAN03) →  \n4. **HOÀN THÀNH JAN05** (có điều kiện tiên quyết là JAN04).\n\n> **Lưu ý:** Dữ liệu hiện tại chỉ chứa thông tin chi tiết cho các môn JAN03, JAN04, JAN05 và JAN06. Vì vậy, thông tin về **JAN02** (tiên quyết của JAN03) chưa được cập nhật trong hệ thống. Bạn nên kiểm tra lại với phòng Đào tạo hoặc hệ thống quản lý học vụ để xác nhận mã môn, tín chỉ và thời gian biểu của JAN02 trước khi lập kế hoạch học.\n\nNếu bạn đã hoàn thành **JAN02 → JAN03 → JAN04**, thì bạn đã đáp ứng đầy đủ các điều kiện để đăng ký **JAN05**. Chúc bạn học tập hiệu quả! 🚀"",""status"":200}",True
23,Level 4: Super Hard,"Để học môn EN003, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","EN002, ENBT, EN001",Full graph traversal (Prerequisite Tree).,,,,"{""data"":""**Môn mục tiêu:** Anh văn 3 (Mã EN003)  \n\n**Điều kiện tiên quyết (trực tiếp) của EN003**  \n- **Anh văn 2 (Mã EN002)** – được liệt kê trong mục **[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT** của EN003.\n\n**Tuy nhiên** EN002 cũng có một điều kiện tiên quyết, và chuỗi này tiếp tục cho tới khi gặp môn không có yêu cầu nào nữa. Dưới đây là toàn bộ “đường đi” cần hoàn thành trước khi được phép đăng ký EN003:\n\n| Thứ tự | Mã môn | Tên môn | Ghi chú |\n|--------|--------|---------|----------|\n| 1 | **ENBT** | Anh văn Bổ túc | Được yêu cầu làm **điều kiện tiên quyết** của EN001 (xem dưới). |\n| 2 | **EN001** | Anh văn 1 (BMAV) | Có **[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT**: *Anh văn Bổ túc (ENBT)*. |\n| 3 | **EN002** | Anh văn 2 (BMAV) | Có **[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT**: *Anh văn 1 (EN001)*. |\n| 4 | **EN003** | Anh văn 3 (BMAV) | Sau khi hoàn thành EN002 (và các môn ở trên) mới có thể đăng ký. |\n\n**Tóm tắt lộ trình cần hoàn thành**\n\n1. **Anh văn Bổ túc (ENBT)** – môn “bổ túc” (không có thông tin chi tiết trong dữ liệu, nhưng được ghi là yêu cầu của EN001).  \n2. **Anh văn 1 (EN001)** – môn nền tảng tiếng Anh đầu tiên.  \n3. **Anh văn 2 (EN002)** – môn trung cấp, yêu cầu EN001 đã hoàn thành.  \n4. **Anh văn 3 (EN003)** – cuối cùng, có thể học khi đã hoàn thành EN002 (và do đó cả EN001 và ENBT).\n\n> **Lưu ý:** EN003 còn liệt kê các môn “tương đồng” (EN005, EN006, ENG02, …) nhưng chúng không chứa thông tin về **điều kiện tiên quyết** riêng; vì vậy chúng không thay đổi chuỗi yêu cầu trên. Nếu bạn chọn học một trong các môn tương đồng thay cho EN002, vẫn sẽ phải đáp ứng cùng một yêu cầu nền tảng (EN001 → ENBT).  \n\nNếu hệ thống có cập nhật thêm môn “Anh văn Bổ túc (ENBT)” hoặc có các môn thay thế khác, chuỗi này sẽ được điều chỉnh tương ứng. Hiện tại, đây là toàn bộ các môn tiên quyết đã được ghi nhận cho EN003."",""status"":200}",True
24,Level 3: Hard,Môn tiên quyết của môn tiên quyết của môn EN002 là gì?,"Môn tiên quyết là EN001, và tiên quyết của EN001 là ENBT.",2-hop relationship logic.,,,,"{""data"":""**Đáp án:** Môn tiên quyết của môn tiên quyết của **EN002** (Anh văn 2) là **Anh văn Bổ túc (mã ENBT)**.\n\n**Giải thích chi tiết**  \n\n1. **EN002 – Anh văn 2**  \n   - Trong mục **[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT** của EN002, hệ thống liệt kê: **Anh văn 1 (EN001)**.  \n   → *EN001 là môn tiên quyết trực tiếp của EN002.*\n\n2. **EN001 – Anh văn 1** (được xem là môn tiên quyết của EN002)  \n   - Trong mục **[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT** của EN001, hệ thống liệt kê: **Anh văn Bổ túc (ENBT)**.  \n   → *ENBT là môn tiên quyết của EN001.*\n\n3. Vì câu hỏi yêu cầu **“môn tiên quyết của môn tiên quyết của EN002”**, chúng ta cần lấy môn ở bước 2, tức là **ENBT – Anh văn Bổ túc**.\n\nNếu có bất kỳ thay đổi nào trong chương trình học hoặc thông tin cập nhật mới, vui lòng kiểm tra lại trên hệ thống để chắc chắn. Chúc bạn học tập hiệu quả!"",""status"":200}",True
25,Level 2: Medium,"Để học môn CS410, sinh viên cần hoàn thành môn tiên quyết nào?",IT003,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nĐể đăng ký học **môn CS410 – “Mạng neural và thuật giải di truyền”**, hệ thống đã ghi nhận **một môn tiên quyết duy nhất**:\n\n| Mã môn | Tên môn | Loại môn | Ghi chú |\n|--------|---------|----------|----------|\n| **IT003** | **Cấu trúc dữ liệu và giải thuật** | CSNN | Được liệt kê trong mục **[QUAN HỆ] ĐIỀU KIỆN TIÊN QUYẾT** của CS410 |\n\nVì vậy, **sinh viên phải hoàn thành (đạt điểm tốt) môn IT003** trước khi có thể học CS410.\n\n*Lưu ý thêm*: Môn IT003 có một điều kiện học trước là **Nhập môn lập trình (IT001)**. Nếu bạn chưa học IT001, hãy hoàn thành nó trước khi học IT003, sau đó mới đủ điều kiện cho CS410.\n\nNếu có bất kỳ câu hỏi nào khác (ví dụ: lịch học, tín chỉ, hay các môn liên quan), bạn cứ thoải mái hỏi nhé! Chúc bạn học tập hiệu quả."",""status"":200}",True
26,Level 2: Medium,Môn DS303 có môn học nào tương đương không?,Không có môn tương đương.,Single-hop relationship. KG is preferred.,,,,"{""data"":""Chào bạn,\n\nMôn **DS303 – Thống kê Bayes** trong dữ liệu hiện tại chỉ có thông tin về **điều kiện tiên quyết** là môn **Xác suất thống kê (MA005)**. Trong mục **[QUAN HỆ]** của DS303 không có thông tin nào đề cập đến các môn học “tương đương” (equivalent courses) hay các môn thay thế.\n\nTheo quy trình kiểm tra:\n\n1. **Xác định môn mục tiêu**: DS303 (Thống kê Bayes).  \n2. **Kiểm tra mục [QUAN HỆ]**: chỉ liệt kê “ĐIỀU KIỆN TIÊN QUYẾT: Xác suất thống kê (MA005)”.  \n3. **Kiểm tra các môn tương đương**: Không có mục “TƯƠNG ĐƯƠNG” hay “EQUIVALENT” được ghi trong dữ liệu cho DS303.  \n4. **Kết luận**: Hệ thống hiện chưa có thông tin về môn học nào được công nhận là tương đương với DS303.\n\nNếu bạn cần tìm một môn học thay thế hoặc có nội dung tương tự, có thể tham khảo **Môn Xác suất thống kê (MA005)** vì đây là nền tảng cần thiết trước khi học Thống kê Bayes. Tuy nhiên, việc thay thế hoàn toàn DS303 bằng một môn khác sẽ phụ thuộc vào quy định của trường hoặc chương trình đào tạo, và bạn nên liên hệ với phòng đào tạo hoặc cố vấn học tập để được tư vấn cụ thể hơn.\n\nMong rằng thông tin trên hữu ích cho bạn! Nếu có câu hỏi khác về các môn học hoặc lộ trình học, cứ thoải mái hỏi nhé."",""status"":200}",True
27,Level 4: Super Hard,"Để học môn JAN06, tôi cần phải hoàn thành lộ trình các môn học nào từ trước (liệt kê tất cả các môn tiên quyết liên quan)?","JAN04, JAN02, JAN03, JAN05, JAN01",Full graph traversal (Prerequisite Tree).,,,,"{""data"":""**Để đăng ký học môn Tiếng Nhật 6 (JAN06), bạn cần hoàn thành các môn học tiên quyết sau:**\n\n| Mã môn | Tên môn | Loại quan hệ | Ghi chú |\n|--------|----------|--------------|---------|\n| **JAN04** | Tiếng Nhật 4 | Tiếng Nhật 3 (JAN03) là điều kiện tiên quyết | Đây là môn đầu tiên trong chuỗi điều kiện mà chúng tôi có trong dữ liệu. |\n| **JAN05** | Tiếng Nhật 5 | Tiếng Nhật 4 (JAN04) là điều kiện tiên quyết | Sau khi đã hoàn thành JAN04, bạn có thể học JAN05. |\n| **JAN06** | Tiếng Nhật 6 | Tiếng Nhật 5 (JAN05) là điều kiện tiên quyết | Sau khi đã hoàn thành JAN05, bạn đủ điều kiện đăng ký JAN06. |\n\n### Tổng quan lộ trình\n\n1. **Tiếng Nhật 3 (JAN03)** → (điều kiện tiên quyết của JAN04, **không có trong dữ liệu hiện tại**).  \n2. **Tiếng Nhật 4 (JAN04)** → Điều kiện tiên quyết: **JAN03**.  \n3. **Tiếng Nhật 5 (JAN05)** → Điều kiện tiên quyết: **JAN04**.  \n4. **Tiếng Nhật 6 (JAN06)** → Điều kiện tiên quyết: **JAN05**.\n\n### Lưu ý\n\n- Hệ thống hiện chưa có thông tin chi tiết về **Tiếng Nhật 3 (JAN03)**, vì vậy chúng tôi không thể liệt kê các môn học trước JAN03. Nếu bạn chưa học JAN03, hãy kiểm tra với phòng đào tạo hoặc hệ thống quản lý học vụ để biết các yêu cầu cụ thể của môn này.\n- Khi đã hoàn thành **JAN03 → JAN04 → JAN05**, bạn sẽ đáp ứng đầy đủ tất cả các điều kiện tiên quyết để đăng ký **JAN06**.  \n\nNếu cần thêm thông tin về các môn học ở các cấp độ trước (ví dụ: JAN02, JAN01) hoặc muốn biết cách đăng ký, hãy cho chúng tôi biết!"",""status"":200}",True
